1829,9379,9213,2343,3385,801,1668,5647,2883,8387,1899,6548,2368,7833,2464,7712,4482,2856,9,9343
4498,4973,145,6016,6866,6987,2411,5752,660,4118,3426,218,3606,7009,9704,5200,616,3151,5656,1869
5294,6837,9527,58,2996,3205,3066,2264,6063,524,3301,5526,6620,5545,7828,1344,9528,3716,593,326
3225,5047,5987,3319,901,1922,7327,2341,1674,3409,8956,8983,4762,1390,9612,8374,797,5561,1941,7937
3442,8515,1389,2307,1322,3124,1327,1489,3062,410,5054,2892,3074,7641,2104,7521,346,5225,748,2057
1967,5176,150,3271,8333,3767,6733,7129,6789,2582,2788,8565,2968,4457,3822,2820,2648,3194,6676,2153
2672,4870,2685,3209,9731,5028,4206,4167,489,1581,2942,5404,8962,9101,3243,3237,734,1404,1913,8199
6889,3881,1905,5120,5762,2985,3342,4138,161,6572,9672,164,2791,8277,7910,8399,7726,1023,3034,890
4760,9487,6671,1760,4800,6395,2484,3694,6961,8424,5599,9557,4927,1697,6004,6788,249,6056,8380,9902
3278,8445,363,4486,7152,7349,780,818,5631,7175,4552,5202,4455,6603,6041,9972,8824,1643,1977,4961
7898,6675,4958,6708,4408,8482,6496,100,6570,194,8524,2356,5350,1157,7435,5967,4954,212,4101,6298
9136,8837,7996,1884,4559,6090,4540,474,8719,8700,2216,5842,1917,925,1780,8299,3869,6432,3890,2282
8233,1544,5923,508,235,6481,4002,1176,4526,1302,820,6012,529,4551,8548,7931,6411,5390,2310,1254
5425,4232,3617,1090,9462,9728,9507,8793,3747,7674,40,2381,8310,1418,7789,6144,2124,7717,4089,4967
1846,3536,6986,5187,8345,2887,5484,2415,6126,3437,3846,384,2719,8121,783,2666,3746,5930,2490,951
7346,4863,8182,6504,927,1168,482,3448,5537,1181,9798,9230,8723,4995,1512,3520,1868,8420,8041,2165
6606,2957,8202,6251,6444,1460,2636,6728,2409,3551,4014,9436,1294,2976,2308,727,6957,6808,4143,9923
7092,2944,486,5161,5442,9543,5800,8369,9790,1239,4516,837,5872,3911,4831,3779,2348,610,8164,8554
3966,1660,2152,5574,1348,2289,2809,8780,1611,6582,2735,2530,1539,1969,4814,3580,5581,4440,1261,7471
9687,5291,2270,3739,1449,1990,1759,3637,8975,2914,2489,8312,2071,1428,2082,8809,7623,4777,4358,2112
258,6869,7810,7557,6064,8984,844,969,5848,8690,3046,3691,1837,7240,7054,1075,868,1782,664,3600
9994,7507,8886,7402,1147,2039,9516,3585,507,7244,3737,3733,2750,3077,408,3129,6373,5302,2128,5605
1551,8571,6499,266,4343,3948,6372,3886,1366,7829,4018,1734,345,5857,1124,4137,4181,94,3552,324
2006,3051,451,8249,7853,4111,3486,1430,1493,2657,6493,1375,5117,3463,1411,4684,4538,9887,1114,3952
8807,4899,1717,5759,511,1730,1158,2235,749,2639,154,4986,9605,9921,2392,7368,5319,7150,2452,9354
4068,3313,3939,4064,1911,5873,8335,8547,3250,6868,4152,1049,3333,4356,5916,8632,3099,1027,4783,77
6630,6754,7768,8669,1387,4352,9020,1208,4842,3561,4713,5432,1864,4015,2714,3147,4946,7390,668,9470
